444,78.14,92.06,96.25,91.42,,,,,,,
445,77.92,91.95,97.28,91.55,,,,,,,
446,78.23,92.2,98.53,91.33,,,,,,,
447,78.13,91.94,97.47,92.73,,,,,,,
448,78.77,91.84,97.75,91.72,,,,,,,
449,78.48,91.92,97.23,91.71,,,,,,,
450,78.48,92.16,97.27,90.23,,,,,,,
451,78.65,92.16,100.01,91.02,,,,,,,
452,78.8,92.19,96.91,90.58,,,,,,,
453,78.72,91.7,98.74,89.95,,,,,,,
454,78.87,91.97,100.11,90.32,,,,,,,
455,79.02,92.04,97.72,90.59,,,,,,,
456,79.05,91.87,97.13,89.48,,,,,,,
457,78.86,91.92,97.61,90.31,,,,,,,
458,79.42,92.22,96.84,89.94,,,,,,,
459,79.58,92,98.21,91.33,,,,,,,
460,79.79,92.22,98.12,90.69,,,,,,,
461,79.48,92.04,96.6,90.47,,,,,,,
462,79.67,92.18,100.75,91.02,,,,,,,
463,79.67,92.18,97.28,90.85,,,,,,,
464,79.52,91.77,97.33,89.89,,,,,,,
465,79.79,91.82,97.63,90.38,,,,,,,
466,80.06,91.83,98.03,90.68,,,,,,,
467,80.13,92.04,98.77,90.97,,,,,,,
468,79.89,92.17,98.33,90.46,,,,,,,
469,80.13,91.92,98.91,91.33,,,,,,,
470,80.02,92.12,98.03,90.94,,,,,,,
471,80.25,92.01,99.04,89.95,,,,,,,
472,79.96,92.38,98.15,90.17,,,,,,,
473,80.64,91.92,97.23,90.72,,,,,,,
474,80.54,92.12,98.55,90.12,,,,,,,
475,80.56,92.17,98.92,90.49,,,,,,,
476,80.46,92.36,96.32,90.7,,,,,,,
477,80.74,91.84,97.56,91.21,,,,,,,
478,80.78,92.49,98.76,91.29,,,,,,,
479,80.63,92.34,98.61,90.54,,,,,,,
480,80.64,91.96,97.52,91.6,,,,,,,
481,80.85,92.27,98,90.02,,,,,,,
482,81.21,92.15,99.96,91.19,,,,,,,
483,81.2,91.92,98.01,92.03,,,,,,,
484,81.18,92.27,97.23,91.1,,,,,,,
485,81.29,92.18,97,91.42,,,,,,,
486,81.48,91.9,96.31,91.94,,,,,,,
487,81.49,92.52,98.83,91.44,,,,,,,
488,81.38,91.94,98.13,91.14,,,,,,,
489,81.44,92.01,96.66,91.35,,,,,,,
490,81.54,92.1,98.52,91.24,,,,,,,
491,81.82,91.94,98.21,91.73,,,,,,,
492,81.89,92.24,98.28,90.78,,,,,,,
493,81.7,92.11,98.89,91.46,,,,,,,
494,81.84,92.31,97.86,90.2,,,,,,,
495,81.86,91.67,96.74,90.53,,,,,,,
496,81.78,92.29,97.49,91.4,,,,,,,
497,82.14,92.34,100.68,90.75,,,,,,,
498,81.81,91.91,97.85,91.29,,,,,,,
499,81.79,92.04,98.46,91.28,,,,,,,
500,82.03,91.99,98.6,91.35,,,,,,,
501,82.22,92.05,97.45,90.97,,,,,,,
502,81.95,91.78,97.21,90.96,,,,,,,
503,81.79,91.95,97.86,90.29,,,,,,,
504,81.93,91.99,96,90.38,,,,,,,
505,82.37,92.18,97.67,90.88,,,,,,,
506,81.89,91.97,97.45,91.22,,,,,,,
507,82.02,92.38,97.73,90.27,,,,,,,
508,82.41,91.88,99.16,90.6,,,,,,,
509,82.28,92.38,99.03,89.95,,,,,,,
510,82.25,91.88,98.94,89.26,,,,,,,
511,82.19,92.05,97.14,90.6,,,,,,,
512,82.34,92.03,98.05,90.55,,,,,,,
513,82.58,92.1,98.08,90.48,,,,,,,
514,82.84,92.37,97.94,90.35,,,,,,,
515,82.24,92.33,97.72,90.22,,,,,,,
516,82.74,92.17,97.74,90.49,,,,,,,
517,82.41,91.96,97.75,90.02,,,,,,,
518,82.95,92.1,97.2,91.66,,,,,,,
519,82.57,92.55,98.85,90.82,,,,,,,
520,82.61,92.27,99.14,90.43,,,,,,,
521,82.71,91.88,97.03,90.58,,,,,,,
522,82.84,92.38,98.58,90.43,,,,,,,
